epoch,acc,loss,lr,val_acc,val_loss
0,0.8504227289539787,0.38832458813965554,1e-04,0.8939158968099459,0.32550142329978193
1,0.9239669547015028,0.20134739471754068,1e-04,0.8970609419927822,0.30813849984308866
2,0.9371419905909436,0.16457132961262355,1e-04,0.8970471977248905,0.30282757360869506
3,0.9481208591828705,0.13665533703365346,1e-04,0.9007625082346398,0.2782993900670311
4,0.9579388288405573,0.11127265303472993,1e-04,0.9061841579872792,0.2816888783567064
5,0.9657095098212773,0.09121225142608518,1e-04,0.8836423853250939,0.4073823199380101
6,0.9735137093444115,0.07091195630314558,5e-05,0.8861035920503572,0.41912815699309813
7,0.976912354527726,0.06142311283339389,5e-05,0.904243385228585,0.33899981060659323
