epoch,acc,loss,lr,val_acc,val_loss
0,0.7802302779651913,0.4133374907164706,1e-04,0.7835350200885863,0.3666133698750669
1,0.8383343894726674,0.3567410617948992,1e-04,0.8469328162238354,0.34198590432565046
2,0.8517277759054432,0.3416278790167198,1e-04,0.8397722370981231,0.3400174172844474
3,0.8628907395681373,0.3240721342061819,1e-04,0.8630559955994914,0.31922587001417563
4,0.8745226167407432,0.3072201537167131,1e-04,0.8660009179528304,0.30896764301408935
5,0.8844665824895791,0.2807661560566529,1e-04,0.8725449912191376,0.29661079196948703
6,0.8932508753222439,0.26117077890945517,1e-04,0.8926597307986162,0.25837994572215195
7,0.9009252128158163,0.24685869997610216,1e-04,0.8657860450857268,0.3073904355914574
8,0.9082772655213774,0.22993476988504763,1e-04,0.8927579132590707,0.25372019122670014
9,0.9132806101570958,0.21689488877921473,1e-04,0.8961535344912311,0.24630370343060004
10,0.9199382073794429,0.202151420920086,1e-04,0.9076614980622539,0.23403911483217413
11,0.9265229363922074,0.1871927052574313,1e-04,0.9083455247203196,0.23723621728030717
12,0.9295006919755295,0.1795003720128489,1e-04,0.914322549902548,0.2246006370822745
13,0.9330146094791503,0.1702431677270077,1e-04,0.9151291739283585,0.21804516565963977
14,0.9381899020888589,0.15807862929528646,1e-04,0.9225506181792011,0.21306762897123502
15,0.9433047694886626,0.14633561259967537,1e-04,0.921786426559208,0.21846763604855912
16,0.9466870398860675,0.13764347507813468,1e-04,0.9169552321509113,0.26600230350269105
17,0.9494491270172737,0.1305708338988746,1e-04,0.8981967727969012,0.3400589358208217
18,0.9539161111290747,0.11918603682618131,1e-04,0.9121600267455334,0.3331008080950403
19,0.956354698409205,0.1132298558692746,1e-04,0.9281594091513026,0.238277824844901
20,0.9637756341766462,0.09425579744718762,5e-05,0.9291723051409083,0.21569330386054797
21,0.9690619783674775,0.08040553448618695,5e-05,0.9291674987537655,0.2296495099412644
22,0.9715585650898251,0.07359792762932924,5e-05,0.9282216007315268,0.248681387915386
23,0.9749838306969805,0.0648876518386567,5e-05,0.9315582021014897,0.2603557256791066
24,0.9776197299655718,0.057410168205663976,5e-05,0.9340169589350543,0.24799750039837962
