epoch,acc,loss,lr
0,0.8765900477555126,0.35121442684771326,1e-04
1,0.9263279244986379,0.1988632208233667,1e-04
2,0.9401527397440508,0.15826029887225768,1e-04
3,0.9503448583880119,0.1306894269917531,1e-04
4,0.9601369567015348,0.10534811285317039,1e-04
5,0.9684292917002999,0.08344980647072407,1e-04
6,0.9724099063571973,0.07285843266389004,1e-04
7,0.9762274243443686,0.06215039218112379,1e-04
8,0.9775780688906545,0.058270627041281116,1e-04
9,0.9791288400336653,0.05382173110276319,1e-04
10,0.9802938891813089,0.05123851314263557,1e-04
11,0.9814671664064718,0.048005709045023714,1e-04
12,0.9835073062782227,0.04216223201857171,1e-04
13,0.9843023994710961,0.040046363558449545,1e-04
14,0.9839085003399359,0.041181240822254765,1e-04
15,0.9851699994073659,0.03775840346652891,1e-04
16,0.9858833434645787,0.03611932040779229,1e-04
17,0.9869038963581526,0.03298298000780304,1e-04
18,0.987543307303629,0.031271072197264126,1e-04
19,0.9872199094502658,0.03236228960903147,1e-04
20,0.9876140443634648,0.031307767863322115,1e-04
21,0.9880415878213036,0.03003508093697718,1e-04
22,0.9887572685124185,0.02806220007368833,1e-04
23,0.9890200266905871,0.027391922644723506,1e-04
24,0.988997887190296,0.02775666398536208,1e-04
25,0.989394606007219,0.026442042754236224,1e-04
26,0.9903467932206947,0.02384668134011646,1e-04
27,0.9901661514105955,0.02438612056213415,1e-04
28,0.9903198471189864,0.024017619201545656,1e-04
29,0.9899593420314939,0.025036127124817405,1e-04
30,0.9903473319223896,0.02398237364151843,1e-04
31,0.9919853956213495,0.01970091776180818,5e-05
32,0.9940011160445251,0.01479580821572416,5e-05
33,0.9942630141455604,0.01414346185072927,5e-05
34,0.9941919607950425,0.014237749828378807,5e-05
35,0.9939429780694923,0.014800122588149039,5e-05
36,0.9940062121945723,0.014571444572819071,5e-05
37,0.9942671023838893,0.013952681362205207,5e-05
38,0.9943634146386037,0.01363573883076038,5e-05
39,0.9943731953559141,0.013619768765782952,5e-05
40,0.99436374552442,0.013601385588105915,5e-05
41,0.9944678948953818,0.013357687871726627,5e-05
42,0.9943894376686964,0.013590283107047822,5e-05
43,0.9946334480674346,0.01298716074697332,5e-05
44,0.9946655611291316,0.01297136697194305,5e-05
45,0.9945009004259938,0.013299433658293803,5e-05
46,0.9945612852983942,0.013118185189009701,5e-05
