epoch,dice,loss,lr,val_dice,val_loss
0,0.987444697004376,-0.987444697004376,1e-04,0.9818128213800233,-0.9818128213800233
1,0.9901836491250372,-0.9901836491250372,1e-04,0.9743868944973781,-0.9743868944973781
2,0.9897286014639454,-0.9897286014639454,1e-04,0.9831215852293474,-0.9831215852293474
3,0.9898303525272386,-0.9898303525272386,1e-04,0.9789022196983469,-0.9789022196983469
4,0.9921702808373934,-0.9921702808373934,5e-05,0.9831287850593698,-0.9831287850593698
5,0.9946481533896872,-0.9946481533896872,5e-05,0.9852425096363857,-0.9852425096363857
6,0.9951828492410255,-0.9951828492410255,5e-05,0.9799205712203322,-0.9799205712203322
7,0.9950671134056983,-0.9950671134056983,5e-05,0.9847534781899946,-0.9847534781899946
8,0.9951995631833097,-0.9951995631833097,5e-05,0.9782081493015947,-0.9782081493015947
9,0.9958615951981895,-0.9958615951981895,2.5e-05,0.9889960165681511,-0.9889960165681511
10,0.9963701705395918,-0.9963701705395918,2.5e-05,0.9865658755960136,-0.9865658755960136
11,0.9961313627240977,-0.9961313627240977,2.5e-05,0.9862881035640322,-0.9862881035640322
12,0.9965573318334885,-0.9965573318334885,2.5e-05,0.982031158332167,-0.982031158332167
13,0.9965821855512016,-0.9965821855512016,2.5e-05,0.9864339376318043,-0.9864339376318043
14,0.9965316250726775,-0.9965316250726775,2.5e-05,0.9828977471795576,-0.9828977471795576
15,0.99698149525758,-0.99698149525758,1.25e-05,0.9876107316592644,-0.9876107316592644
16,0.9969824814435208,-0.9969824814435208,1.25e-05,0.9807466710435933,-0.9807466710435933
17,0.9969057113061219,-0.9969057113061219,1.25e-05,0.9862822448385173,-0.9862822448385173
18,0.9971753600097838,-0.9971753600097838,6.25e-06,0.9828685501526142,-0.9828685501526142
19,0.9973275269264783,-0.9973275269264783,6.25e-06,0.9837621265444262,-0.9837621265444262
20,0.9973648006007785,-0.9973648006007785,6.25e-06,0.9857820960982092,-0.9857820960982092
21,0.9975562491716244,-0.9975562491716244,6.25e-06,0.9848310022518553,-0.9848310022518553
22,0.9972138166169584,-0.9972138166169584,6.25e-06,0.9834672695603864,-0.9834672695603864
23,0.9974633423022894,-0.9974633423022894,6.25e-06,0.9836437219175799,-0.9836437219175799
24,0.997333258519441,-0.997333258519441,3.125e-06,0.9866725113885156,-0.9866725113885156
25,0.9974725197403977,-0.9974725197403977,3.125e-06,0.9892886866783274,-0.9892886866783274
