epoch,acc,loss,lr,val_acc,val_loss
0,0.5000184256406057,0.6931408144436874,1e-04,0.5000000709089739,0.6931474774048246
1,0.8207820184625588,0.3323927115955394,1e-04,0.920322650465472,0.16712404158094835
2,0.9443658587736484,0.136478655350705,1e-04,0.9596005236280376,0.10429136230257051
3,0.9575217420404608,0.10956395226752474,1e-04,0.9671313772941458,0.08874453861137917
4,0.9675806160871084,0.0869705493247451,1e-04,0.9742087834867937,0.06501242361063587
5,0.9692323805191816,0.08051259279577666,1e-04,0.9676675991765384,0.08281350501909338
6,0.9776213485183138,0.05968177793910364,1e-04,0.969266951084137,0.07317901372203026
7,0.9773911488004577,0.061177481549441234,1e-04,0.9725481251190449,0.07046398982919495
8,0.9772957967215287,0.059913229407920016,1e-04,0.9785854528690207,0.05923697052138119
9,0.9844341039399565,0.04117034934057947,5e-05,0.9807278596121689,0.04689674322686062
10,0.9873517546560857,0.033321837744437706,5e-05,0.9782075995001299,0.056219765033315994
11,0.987834932484152,0.03233008410124455,5e-05,0.9788808092988771,0.054998775735369015
12,0.9882819669329242,0.031385555870435906,5e-05,0.9818210159910137,0.04733590067139473
13,0.9897372029818498,0.026712857643384245,5e-05,0.9832823451223045,0.044887135238868406
14,0.9906254691995068,0.024474787364564675,5e-05,0.9814699590206146,0.05258250689326689
15,0.9908567579277666,0.023467257922289497,5e-05,0.9820060925237064,0.04815132935242406
16,0.9915702328795478,0.022015540923588622,5e-05,0.9854203144024158,0.041247773088579034
17,0.9905236505326771,0.02504257033921746,5e-05,0.9814417105296562,0.06047450572830336
