epoch,acc,loss,lr,val_acc,val_loss
0,0.9459747718253606,0.21075485982525516,1e-04,0.949269729355971,0.16323979074756303
1,0.9454167837827978,0.15876470479956814,1e-04,0.9479405184586843,0.17815502422551313
2,0.9462622584591449,0.1492912973946249,1e-04,0.9496206790208817,0.14520525621871153
3,0.9461712325122994,0.15078773554152167,1e-04,0.947337731719017,0.1548587679862976
4,0.9460130749453961,0.14539300723814627,1e-04,0.9474900936086973,0.14620666205883026
5,0.9463370320662646,0.14584505668198558,1e-04,0.9502187048395475,0.14222420379519463
6,0.9458207059913958,0.13980112219570387,1e-04,0.946071927746137,0.15398795219759145
7,0.9449033833725352,0.12902841160834674,1e-04,0.94556974619627,0.13797457423061132
8,0.950556585066755,0.12019130524615167,1e-04,0.9556124061346054,0.1624700784062346
9,0.9595108460372602,0.1079302417166846,1e-04,0.9668666695555052,0.09036786310995619
10,0.9623212025199138,0.10138976249948774,1e-04,0.9693115825454394,0.09702837110186617
11,0.9697160452184542,0.0901265322807914,1e-04,0.963207334280014,0.10902743724485238
12,0.9742682093465832,0.07134762523092435,1e-04,0.9720676019787788,0.08717899819991241
13,0.9734238209858747,0.07693154264477567,1e-04,0.972073475519816,0.09183830907568336
14,0.9743122227594886,0.07321736865191603,1e-04,0.9702078948418299,0.09429323145498832
15,0.9746521665176875,0.07743803885253803,5e-05,0.9732987011472384,0.08498893775201093
16,0.9760607997296562,0.06831926520599026,5e-05,0.9724098468820254,0.08671063890991111
